       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      5000        50        0.81    0.1220
      6000        60        0.82    0.2100
      7000        70        0.82    0.3320
      8000        80        0.83    0.4950
      9000        95        0.83    0.6330
     10000       105        0.84    0.8690
     11000       116        0.84    1.1610
     12000       126        0.84    1.5150
     13000       137        0.85    1.9410
     14000       147        0.85    2.4460
     15000       158        0.85    3.0420
     16000       168        0.85    3.7440
     17000       179        0.86    4.5710
     18000       189        0.85    5.5440
 


           ========== 11x12W ==========

       RPM       VMPH       EFF      HP
      1000         8        0.65    0.0010
      2000        18        0.72    0.0090
      3000        28        0.75    0.0300
      4000        38        0.77    0.0690
      5000        49        0.79    0.1240
      6000        59        0.80    0.2120
      7000        69        0.81    0.3350
      8000        83        0.81    0.4490
      9000        94        0.82    0.6390
     10000       104        0.83    0.8770
     11000       115        0.83    1.1700
     12000       125        0.83    1.5270
     13000       136        0.84    1.9550
     14000       146        0.84    2.4640
     15000       164        0.85    2.6710
     16000       175        0.85    3.2800
     17000       186        0.85    3.9260
     18000       190        0.85    5.4460
     19000       200        0.85    6.5760
     20000       209        0.84    8.0810
 


           ========== 11x13 ==========

       RPM       VMPH       EFF      HP
      1000         9        0.67    0.0010
      2000        20        0.73    0.0090
      3000        30        0.77    0.0290
      4000        40        0.79    0.0680
      5000        53        0.80    0.1210
      6000        64        0.81    0.2080
      7000        75        0.82    0.3280
      8000        85        0.83    0.4890
      9000       101        0.83    0.6260
     10000       112        0.84    0.8610
     11000       123        0.84    1.1500
     12000       134        0.85    1.5030
     13000       146        0.85    1.9260
     14000       158        0.86    2.3960
     15000       168        0.86    3.0280
     16000       187        0.86    3.2640
     17000       199        0.86    3.9950
     18000       211        0.86    4.8600
     19000       213        0.86    6.7040
     20000       225        0.85    8.0610
 


           ========== 11x14 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.68    0.0010
      2000        21        0.75    0.0090
      3000        32        0.78    0.0310
      4000        46        0.80    0.0660
      5000        57        0.81    0.1280
      6000        69        0.82    0.2190
      7000        81        0.83    0.3470
      8000        92        0.84    0.5170
      9000       109        0.84    0.6630
     10000       121        0.85    0.9120
     11000       133        0.85    1.2220
     12000       145        0.86    1.5980
     13000       157        0.86    2.0500
     14000       169        0.86    2.5910
     15000       181        0.87    3.2330
     16000       202        0.87    3.4880
     17000       215        0.87    4.2760
     18000       227        0.87    5.2050
     19000       240        0.87    6.2940
 


           ========== 11x3 ==========

       RPM       VMPH       EFF      HP
      1000         2        0.26    0.0000
      2000         5        0.34    0.0020
      3000         8        0.39    0.0070
      4000        11        0.42    0.0160
      5000        14        0.45    0.0290
      6000        17        0.47    0.0490
      7000        21        0.49    0.0720
      8000        24        0.51    0.1040
      9000        27        0.52    0.1450
     10000        30        0.54    0.1960
     11000        34        0.55    0.2560
     12000        37        0.56    0.3300
     13000        41        0.57    0.4000
     14000        43        0.58    0.5120
     15000        48        0.58    0.6090
     16000        52        0.59    0.7290
     17000        55        0.60    0.8710
     18000        59        0.61    1.0410
     19000        62        0.61    1.2540
     20000        61        0.59    1.6140
 


           ========== 11x38SF ==========

       RPM       VMPH       EFF      HP
      1000         3        0.47    0.0000
      2000         6        0.49    0.0030
      3000        10        0.51    0.0110
