       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      4000        13        0.52    0.0250
      5000        17        0.52    0.0480
      6000        20        0.53    0.0820
      7000        23        0.54    0.1300
      8000        27        0.54    0.1910
      9000        30        0.55    0.2720
     10000        35        0.55    0.3620
     11000        37        0.55    0.4940
     12000        42        0.56    0.6240
     13000        46        0.56    0.7910
     14000        50        0.56    0.9900
     15000        53        0.57    1.2300
     16000        57        0.57    1.5010
     17000        60        0.57    1.8270
     18000        62        0.56    2.2920
     19000        64        0.54    2.8900
     20000        64        0.50    3.7260
     21000        63        0.46    4.8750
 


           ========== 11x4 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.35    0.0000
      2000         7        0.43    0.0030
      3000        10        0.48    0.0090
      4000        14        0.52    0.0200
      5000        18        0.54    0.0370
      6000        22        0.56    0.0620
      7000        26        0.58    0.0950
      8000        30        0.60    0.1390
      9000        35        0.61    0.1880
     10000        39        0.62    0.2550
     11000        44        0.63    0.3320
     12000        48        0.64    0.4280
     13000        52        0.65    0.5450
     14000        58        0.66    0.6440
     15000        62        0.66    0.7950
     16000        66        0.67    0.9670
     17000        71        0.68    1.1660
     18000        76        0.68    1.3650
     19000        79        0.68    1.6780
 


           ========== 11x45EP ==========

       RPM       VMPH       EFF      HP
      1000         3        0.42    0.0000
      2000         7        0.49    0.0030
      3000        10        0.53    0.0090
      4000        14        0.55    0.0190
      5000        18        0.57    0.0360
      6000        22        0.59    0.0600
      7000        26        0.60    0.0920
      8000        30        0.61    0.1360
      9000        35        0.62    0.1850
     10000        39        0.63    0.2510
     11000        43        0.64    0.3270
     12000        48        0.65    0.4210
     13000        51        0.65    0.5350
     14000        55        0.66    0.6730
     15000        59        0.67    0.8360
     16000        62        0.67    1.0180
     17000        70        0.68    1.1480
     18000        70        0.68    1.4730
     19000        74        0.67    1.7710
     20000        75        0.66    2.2420
     21000        75        0.63    2.8570
 


           ========== 11x45MR ==========

       RPM       VMPH       EFF      HP
      1000         3        0.44    0.0000
      2000         7        0.50    0.0030
      3000        10        0.53    0.0100
      4000        14        0.56    0.0220
      5000        18        0.57    0.0420
      6000        22        0.59    0.0710
      7000        26        0.60    0.1090
      8000        30        0.61    0.1600
      9000        33        0.62    0.2280
     10000        39        0.62    0.2980
     11000        41        0.63    0.4100
     12000        47        0.64    0.5010
     13000        51        0.64    0.6370
     14000        55        0.65    0.8010
     15000        58        0.65    0.9960
     16000        62        0.66    1.2110
     17000        66        0.66    1.4600
     18000        70        0.66    1.7510
     19000        75        0.66    2.0670
     20000        78        0.65    2.5510
 


           ========== 11x46SF ==========

       RPM       VMPH       EFF      HP
      1000         3        0.58    0.0000
      2000         7        0.60    0.0030
      3000        11        0.61    0.0090
      4000        16        0.62    0.0210
      5000        20        0.63    0.0420
      6000        23        0.63    0.0730
      7000        28        0.64    0.1120
      8000        32        0.64    0.1680
      9000        37        0.65    0.2360
     10000        41        0.65    0.3240
     11000        45        0.65    0.4330
     12000        48        0.66    0.5720
     13000        52        0.66    0.7290
     14000        57        0.66    0.9140
     15000        62        0.67    1.1150
     16000        68        0.67    1.3210
     17000        69        0.67    1.6800
     18000        74        0.66    2.0340
     19000        74        0.65    2.5990
     20000        79        0.62    3.2130
     21000        77        0.59    4.1480
 


           ========== 11x47SF ==========

       RPM       VMPH       EFF      HP
      1000         3        0.53    0.0010
      2000         7        0.55    0.0040
      3000        11        0.56    0.0130
      4000        16        0.57    0.0290
      5000        20        0.58    0.0560
      6000        24        0.58    0.0940
      7000        28        0.59    0.1500
      8000        32        0.59    0.2250
      9000        37        0.60    0.3160
     10000        41        0.60    0.4320
     11000        45        0.61    0.5770
     12000        48        0.61    0.7600
     13000        52        0.61    0.9690
     14000        57        0.61    1.2140
     15000        62        0.62    1.4770
     16000        68        0.62    1.7440
     17000        69        0.62    2.2150
     18000        74        0.61    2.6880
     19000        74        0.59    3.4510
     20000        74        0.56    4.4430
     21000        77        0.52    5.6410
 


           ========== 11x5 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.41    0.0010
      2000         8        0.49    0.0040
      3000        12        0.54    0.0110
      4000        17        0.58    0.0240
      5000        22        0.60    0.0430
      6000        27        0.62    0.0720
      7000        31        0.64    0.1120
      8000        36        0.65    0.1620
      9000        41        0.66    0.2280
     10000        45        0.67    0.3130
     11000        52        0.68    0.3920
     12000        57        0.69    0.5060
     13000        62        0.70    0.6430
     14000        66        0.70    0.8030
     15000        72        0.71    0.9750
     16000        76        0.71    1.2120
     17000        85        0.72    1.3360
     18000        90        0.72    1.5970
     19000        91        0.73    2.0870
 


           ========== 11x55E ==========

       RPM       VMPH       EFF      HP
      1000         4        0.49    0.0000
      2000         8        0.56    0.0030
      3000        13        0.59    0.0100
      4000        17        0.62    0.0240
      5000        22        0.64    0.0450
      6000        27        0.65    0.0730
      7000        32        0.66    0.1140
      8000        37        0.67    0.1660
      9000        41        0.68    0.2350
     10000        46        0.69    0.3240
     11000        50        0.70    0.4300
     12000        58        0.70    0.5210
     13000        63        0.71    0.6620
     14000        68        0.72    0.8120
     15000        72        0.72    1.0220
     16000        78        0.73    1.2340
     17000        83        0.73    1.4810
     18000        87        0.73    1.8110
     19000        91        0.73    2.1820
     20000        92        0.71    2.8160
 


           ========== 11x55MR ==========

       RPM       VMPH       EFF      HP
      1000         4        0.52    0.0010
      2000         8        0.57    0.0040
      3000        13        0.60    0.0120
      4000        17        0.62    0.0280
      5000        22        0.64    0.0520
      6000        27        0.65    0.0850
      7000        32        0.66    0.1350
