       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

      15000         8.619         1.250         5.252        0.0460        0.1202       0.723
      16000         9.878         1.528         6.020        0.0464        0.1211       0.725
      17000        11.239         1.852         6.867        0.0468        0.1220       0.726
      18000        12.706         2.237         7.832        0.0477        0.1231       0.723
      19000        14.283         2.710         8.989        0.0491        0.1242       0.711
      20000        15.973         3.319        10.460        0.0516        0.1253       0.686


                       10x6E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.035         0.000         0.028        0.0549        0.1110       0.537
       2000         0.142         0.003         0.100        0.0495        0.1115       0.600
       3000         0.320         0.010         0.215        0.0472        0.1117       0.632
       4000         0.571         0.024         0.372        0.0458        0.1120       0.653
       5000         0.894         0.045         0.569        0.0449        0.1122       0.668
       6000         1.290         0.077         0.808        0.0443        0.1125       0.680
       7000         1.761         0.121         1.090        0.0438        0.1128       0.689
       8000         2.306         0.179         1.414        0.0435        0.1131       0.697
       9000         2.928         0.254         1.781        0.0434        0.1134       0.703
      10000         3.628         0.348         2.194        0.0432        0.1138       0.709
      11000         4.407         0.463         2.652        0.0432        0.1143       0.714
      12000         5.268         0.601         3.159        0.0432        0.1148       0.718
      13000         6.212         0.766         3.715        0.0433        0.1153       0.721
      14000         7.243         0.960         4.323        0.0435        0.1160       0.724
      15000         8.362         1.187         4.987        0.0437        0.1166       0.727
      16000         9.574         1.449         5.708        0.0440        0.1174       0.730
      17000        10.882         1.751         6.494        0.0443        0.1182       0.732
      18000        12.290         2.102         7.359        0.0448        0.1190       0.732
      19000        13.803         2.519         8.357        0.0456        0.1200       0.726
      20000        15.424         3.041         9.582        0.0472        0.1210       0.711
      21000        17.153         3.723        11.173        0.0500        0.1221       0.681


                       10x6F.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.032         0.000         0.025        0.0499        0.1010       0.514
       2000         0.129         0.003         0.091        0.0447        0.1014       0.576
       3000         0.292         0.009         0.194        0.0425        0.1017       0.609
       4000         0.519         0.021         0.334        0.0412        0.1019       0.630
