       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

      17000        10.237         1.527         5.663        0.0386        0.1112       0.765
      18000        11.577         1.837         6.433        0.0391        0.1121       0.765
      19000        13.021         2.193         7.275        0.0397        0.1132       0.765
      20000        14.575         2.608         8.219        0.0405        0.1143       0.762
      21000        16.245         3.116         9.353        0.0418        0.1156       0.750
      22000        18.035         3.779        10.827        0.0441        0.1169       0.723
      23000        19.947         4.692        12.859        0.0479        0.1183       0.678


                       10x47SF.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.043         0.000         0.028        0.0549        0.1342       0.714
       2000         0.171         0.003         0.109        0.0539        0.1344       0.730
       3000         0.386         0.012         0.244        0.0534        0.1346       0.738
       4000         0.687         0.027         0.431        0.0531        0.1348       0.744
       5000         1.076         0.053         0.671        0.0529        0.1351       0.748
       6000         1.553         0.092         0.965        0.0529        0.1354       0.752
       7000         2.120         0.146         1.315        0.0529        0.1358       0.754
       8000         2.777         0.218         1.720        0.0530        0.1362       0.757
       9000         3.528         0.312         2.183        0.0531        0.1367       0.758
      10000         4.373         0.429         2.706        0.0534        0.1372       0.760
      11000         5.315         0.574         3.291        0.0536        0.1378       0.762
      12000         6.358         0.750         3.940        0.0539        0.1385       0.763
      13000         7.503         0.961         4.657        0.0543        0.1393       0.764
      14000         8.756         1.210         5.446        0.0548        0.1402       0.764
      15000        10.120         1.502         6.311        0.0553        0.1411       0.765
      16000        11.600         1.842         7.257        0.0559        0.1422       0.765
      17000        13.203         2.236         8.292        0.0566        0.1434       0.766
      18000        14.937         2.691         9.423        0.0573        0.1447       0.766
      19000        16.809         3.214        10.663        0.0582        0.1461       0.765
      20000        18.831         3.817        12.030        0.0593        0.1477       0.764
      21000        21.015         4.526        13.584        0.0607        0.1495       0.760
      22000        23.375         5.397        15.462        0.0630        0.1515       0.747
      23000        25.923         6.528        17.889        0.0667        0.1538       0.722


                       10x5.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.032         0.000         0.028        0.0556        0.1013       0.463
       2000         0.130         0.003         0.096        0.0472        0.1019       0.551
       3000         0.293         0.009         0.199        0.0437        0.1023       0.598
       4000         0.523         0.021         0.338        0.0417        0.1026       0.628
       5000         0.819         0.041         0.513        0.0404        0.1029       0.651
       6000         1.184         0.069         0.723        0.0396        0.1032       0.668
       7000         1.617         0.108         0.969        0.0390        0.1035       0.682
       8000         2.119         0.159         1.253        0.0386        0.1039       0.693
       9000         2.694         0.225         1.574        0.0383        0.1044       0.702
      10000         3.341         0.307         1.935        0.0381        0.1049       0.710
      11000         4.064         0.408         2.337        0.0381        0.1054       0.717
      12000         4.865         0.530         2.782        0.0381        0.1060       0.723
      13000         5.746         0.675         3.272        0.0382        0.1067       0.728
      14000         6.711         0.847         3.811        0.0383        0.1074       0.733
      15000         7.764         1.048         4.402        0.0386        0.1083       0.737
      16000         8.909         1.282         5.048        0.0389        0.1092       0.740
      17000        10.151         1.553         5.758        0.0393        0.1102       0.743
      18000        11.497         1.871         6.552        0.0399        0.1113       0.743
      19000        12.952         2.256         7.483        0.0409        0.1126       0.738
      20000        14.525         2.744         8.646        0.0426        0.1139       0.720


                       10x55MR.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.039         0.000         0.029        0.0576        0.1211       0.584
       2000         0.155         0.003         0.108        0.0531        0.1215       0.637
       3000         0.349         0.011         0.233        0.0510        0.1217       0.664
       4000         0.622         0.026         0.404        0.0498        0.1220       0.682
       5000         0.974         0.049         0.622        0.0491        0.1222       0.695
       6000         1.405         0.084         0.886        0.0485        0.1225       0.705
       7000         1.917         0.133         1.197        0.0482        0.1228       0.712
       8000         2.511         0.198         1.556        0.0479        0.1231       0.719
       9000         3.188         0.280         1.964        0.0478        0.1235       0.724
      10000         3.949         0.384         2.422        0.0477        0.1239       0.729
      11000         4.797         0.511         2.931        0.0478        0.1244       0.733
      12000         5.733         0.665         3.493        0.0478        0.1249       0.737
      13000         6.760         0.848         4.111        0.0480        0.1255       0.740
      14000         7.880         1.063         4.786        0.0481        0.1262       0.743
      15000         9.096         1.314         5.523        0.0484        0.1269       0.745
      16000        10.413         1.605         6.324        0.0487        0.1276       0.747
      17000        11.834         1.941         7.195        0.0491        0.1285       0.749
      18000        13.364         2.326         8.145        0.0496        0.1294       0.749
      19000        15.008         2.778         9.215        0.0503        0.1305       0.747
      20000        16.771         3.327        10.486        0.0517        0.1316       0.737
      21000        18.655         4.026        12.083        0.0540        0.1327       0.714
      22000        20.641         4.931        14.128        0.0576        0.1338       0.679


                       10x58EP(F2B).dat           

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.036         0.000         0.028        0.0550        0.1118       0.542
       2000         0.143         0.003         0.101        0.0496        0.1122       0.604
       3000         0.323         0.010         0.216        0.0473        0.1125       0.637
       4000         0.575         0.024         0.372        0.0459        0.1127       0.658
       5000         0.900         0.045         0.570        0.0450        0.1130       0.673
       6000         1.299         0.077         0.810        0.0444        0.1132       0.685
       7000         1.773         0.121         1.092        0.0440        0.1135       0.694
       8000         2.322         0.180         1.417        0.0437        0.1139       0.702
       9000         2.949         0.255         1.786        0.0435        0.1142       0.709
      10000         3.654         0.349         2.200        0.0434        0.1147       0.714
      11000         4.439         0.464         2.660        0.0433        0.1151       0.719
      12000         5.306         0.603         3.168        0.0434        0.1156       0.723
      13000         6.258         0.769         3.726        0.0435        0.1162       0.727
      14000         7.297         0.963         4.337        0.0436        0.1168       0.730
      15000         8.426         1.191         5.003        0.0438        0.1175       0.733
      16000         9.649         1.454         5.729        0.0441        0.1183       0.736
      17000        10.970         1.758         6.517        0.0445        0.1191       0.738
      18000        12.394         2.108         7.383        0.0449        0.1200       0.739
      19000        13.924         2.524         8.374        0.0457        0.1210       0.735
      20000        15.566         3.041         9.584        0.0472        0.1221       0.721
      21000        17.322         3.715        11.150        0.0498        0.1233       0.693


                       10x5E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.032         0.000         0.024        0.0469        0.0996       0.535
       2000         0.127         0.003         0.085        0.0419        0.0999       0.601
       3000         0.287         0.009         0.181        0.0397        0.1002       0.637
       4000         0.512         0.020         0.312        0.0385        0.1004       0.660
       5000         0.802         0.038         0.477        0.0376        0.1006       0.677
       6000         1.158         0.064         0.677        0.0371        0.1009       0.690
       7000         1.580         0.101         0.911        0.0367        0.1012       0.701
       8000         2.070         0.150         1.181        0.0364        0.1015       0.709
       9000         2.630         0.212         1.487        0.0362        0.1019       0.717
      10000         3.260         0.290         1.831        0.0361        0.1023       0.723
      11000         3.962         0.386         2.213        0.0361        0.1027       0.729
      12000         4.739         0.502         2.635        0.0361        0.1033       0.734
      13000         5.592         0.639         3.099        0.0362        0.1038       0.738
      14000         6.524         0.801         3.608        0.0363        0.1045       0.742
      15000         7.539         0.991         4.163        0.0365        0.1051       0.746
      16000         8.641         1.210         4.768        0.0367        0.1059       0.749
      17000         9.833         1.464         5.427        0.0370        0.1068       0.752
      18000        11.122         1.755         6.147        0.0374        0.1077       0.754
      19000        12.512         2.096         6.953        0.0380        0.1088       0.754
      20000        14.011         2.512         7.916        0.0390        0.1099       0.745
      21000        15.624         3.048         9.149        0.0409        0.1112       0.723


                       10x6-4.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.050         0.001         0.053        0.1035        0.1562       0.476
       2000         0.201         0.006         0.179        0.0881        0.1575       0.566
       3000         0.454         0.018         0.373        0.0817        0.1582       0.614
       4000         0.809         0.040         0.634        0.0782        0.1587       0.645
       5000         1.268         0.076         0.962        0.0759        0.1592       0.668
       6000         1.832         0.129         1.357        0.0743        0.1597       0.685
       7000         2.502         0.202         1.819        0.0732        0.1602       0.699
       8000         3.280         0.298         2.351        0.0724        0.1608       0.711
       9000         4.169         0.422         2.954        0.0719        0.1615       0.720
      10000         5.170         0.576         3.631        0.0716        0.1622       0.728
      11000         6.287         0.765         4.384        0.0714        0.1631       0.735
      12000         7.524         0.993         5.216        0.0714        0.1640       0.742
      13000         8.884         1.265         6.132        0.0715        0.1650       0.747
      14000        10.372         1.585         7.136        0.0718        0.1661       0.752
      15000        11.994         1.960         8.234        0.0722        0.1673       0.757
      16000        13.757         2.395         9.433        0.0727        0.1686       0.761
      17000        15.668         2.897        10.742        0.0733        0.1701       0.764
      18000        17.737         3.477        12.176        0.0741        0.1718       0.767
      19000        19.974         4.158        13.793        0.0753        0.1736       0.766
      20000        22.390         4.992        15.731        0.0775        0.1756       0.757
      21000        24.994         6.070        18.218        0.0815        0.1778       0.735
      22000        27.770         7.521        21.548        0.0878        0.1800       0.694


                       10x6.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.036         0.001         0.032        0.0641        0.1133       0.475
       2000         0.145         0.004         0.112        0.0550        0.1139       0.558
       3000         0.328         0.011         0.234        0.0513        0.1143       0.601
       4000         0.584         0.025         0.399        0.0492        0.1146       0.629
       5000         0.915         0.048         0.607        0.0479        0.1149       0.649
       6000         1.322         0.082         0.858        0.0470        0.1152       0.664
       7000         1.805         0.128         1.153        0.0464        0.1156       0.676
       8000         2.365         0.189         1.491        0.0459        0.1160       0.686
       9000         3.005         0.268         1.876        0.0457        0.1164       0.694
      10000         3.725         0.366         2.308        0.0455        0.1169       0.701
      11000         4.529         0.487         2.789        0.0454        0.1174       0.707
      12000         5.417         0.632         3.321        0.0455        0.1180       0.712
      13000         6.393         0.806         3.907        0.0456        0.1187       0.716
      14000         7.459         1.011         4.549        0.0458        0.1194       0.720
