       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance File Names ==========================

       FILE NAME                       TITLE  
       PER3_88x925.dat                 8.8x9.25            
       PER3_88x95.dat                  8.8x9.5             
       PER3_88x975.dat                 8.8x9.75            
       PER3_8x10.dat                   8x10                
       PER3_8x375.dat                  8x3.75              
       PER3_8x38SF.dat                 8x3.8SF             
       PER3_8x4.dat                    8x4                 
       PER3_8x41SF.dat                 8x4.1SF             
       PER3_8x42SFR.dat                8x4.2SFR            
       PER3_8x45MR.dat                 8x4.5MR             
       PER3_8x47SF.dat                 8x4.7SF             
       PER3_8x4E.dat                   8x4E                
       PER3_8x4F.dat                   8x4F                
       PER3_8x5.dat                    8x5                 
       PER3_8x6.dat                    8x6                 
       PER3_8x6E.dat                   8x6E                
       PER3_8x6SF.dat                  8x6SF               
       PER3_8x7.dat                    8x7                 
       PER3_8x73.dat                   8x7.3               
       PER3_8x8.dat                    8x8                 
       PER3_8x8E.dat                   8x8E                
       PER3_8x9.dat                    8x9                 
       PER3_925x60.dat                 9.25x6.0            
       PER3_93x3.dat                   9.3x3               
       PER3_95x45.dat                  9.5x4.5             
       PER3_95x5MR.dat                 9.5x5MR             
       PER3_95x6.dat                   9.5x6               
       PER3_95x75N.dat                 9.5x7.5N            
       PER3_95x7N.dat                  9.5x7N              
       PER3_9625x375N.dat              9.625x3.75N         
       PER3_9x10.dat                   9x10                
       PER3_9x3.dat                    9x3                 
       PER3_9x37SF.dat                 9x3.7SF             
       PER3_9x38SF.dat                 9x3.8SF             
       PER3_9x3N.dat                   9x3N                
       PER3_9x4.dat                    9x4                 
       PER3_9x41SF.dat                 9x4.1SF             
       PER3_9x44SFR.dat                9x4.4SFR            
       PER3_9x45E.dat                  9x4.5E              
       PER3_9x45MR.dat                 9x4.5MR             
       PER3_9x45MRF-RH.dat             9x4.5MRF-RH         
       PER3_9x45R-RH.dat               9x4.5R-RH           
       PER3_9x46SF.dat                 9x4.6SF             
       PER3_9x47SF.dat                 9x4.7SF             
       PER3_9x5.dat                    9x5                 
       PER3_9x5F.dat                   9x5F                
       PER3_9x6-4.dat                  9x6-4               
       PER3_9x6.dat                    9x6                 
       PER3_9x65.dat                   9x6.5               
       PER3_9x6E.dat                   9x6E                
       PER3_9x6N.dat                   9x6N                
       PER3_9x6SF.dat                  9x6SF               
       PER3_9x7.dat                    9x7                 
       PER3_9x75.dat                   9x7.5               
       PER3_9x75E.dat                  9x7.5E              
       PER3_9x75SF.dat                 9x7.5SF             
       PER3_9x8.dat                    9x8                 
       PER3_9x85.dat                   9x8.5               
       PER3_9x8E-3.dat                 9x8E-3              
       PER3_9x9.dat                    9x9                 
       PER3_9x9E.dat                   9x9E                
