         13x5.5MRF-RH             (13x55MRF-RH.dat)
         v2022-0915
         Simulation Date: 03/31/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.0947      0.0321       0.120       1.509       2.155      89.295       0.171       9.585      10.946        0.26     104084.    0.7253
        1.15      0.0187      0.0540      0.0928      0.0321       0.120       1.512       2.111      89.423       0.171       9.388      10.706        0.26     104144.    0.7020
        2.30      0.0374      0.1055      0.0907      0.0321       0.120       1.512       2.064      89.439       0.171       9.180      10.466        0.26     104208.    0.6786
        3.45      0.0560      0.1546      0.0885      0.0321       0.120       1.510       2.014      89.325       0.171       8.960      10.228        0.26     104275.    0.6552
        4.60      0.0747      0.2014      0.0863      0.0320       0.119       1.506       1.963      89.098       0.170       8.730       9.992        0.26     104346.    0.6318
        5.75      0.0934      0.2458      0.0839      0.0319       0.119       1.500       1.909      88.761       0.170       8.492       9.755        0.26     104420.    0.6084
        6.90      0.1121      0.2879      0.0814      0.0317       0.118       1.492       1.853      88.262       0.169       8.240       9.520        0.26     104498.    0.5848
        8.05      0.1307      0.3275      0.0788      0.0315       0.118       1.481       1.794      87.624       0.167       7.978       9.285        0.26     104580.    0.5613
        9.20      0.1494      0.3648      0.0761      0.0312       0.116       1.468       1.733      86.853       0.166       7.707       9.049        0.26     104665.    0.5376
       10.35      0.1681      0.3997      0.0733      0.0308       0.115       1.452       1.669      85.903       0.164       7.423       8.812        0.26     104754.    0.5138
       11.50      0.1868      0.4321      0.0704      0.0304       0.114       1.433       1.603      84.790       0.162       7.129       8.574        0.26     104847.    0.4899
       12.65      0.2054      0.4619      0.0674      0.0300       0.112       1.411       1.534      83.485       0.159       6.822       8.332        0.26     104944.    0.4657
       13.80      0.2241      0.4891      0.0643      0.0294       0.110       1.386       1.462      82.003       0.157       6.504       8.087        0.26     105045.    0.4414
       14.94      0.2428      0.5135      0.0610      0.0288       0.108       1.358       1.388      80.344       0.153       6.176       7.838        0.26     105151.    0.4169
       16.09      0.2615      0.5351      0.0577      0.0282       0.105       1.327       1.313      78.506       0.150       5.839       7.584        0.26     105260.    0.3922
       17.24      0.2801      0.5535      0.0543      0.0275       0.103       1.293       1.235      76.486       0.146       5.492       7.322        0.26     105373.    0.3673
       18.39      0.2988      0.5687      0.0508      0.0267       0.100       1.256       1.155      74.282       0.142       5.137       7.052        0.26     105491.    0.3421
       19.54      0.3175      0.5801      0.0472      0.0258       0.096       1.215       1.073      71.891       0.137       4.774       6.771        0.26     105613.    0.3166
       20.69      0.3362      0.5876      0.0435      0.0249       0.093       1.172       0.990      69.310       0.132       4.403       6.477        0.26     105739.    0.2909
       21.84      0.3548      0.5905      0.0398      0.0239       0.089       1.125       0.905      66.538       0.127       4.024       6.167        0.26     105870.    0.2647
       22.99      0.3735      0.5882      0.0359      0.0228       0.085       1.075       0.818      63.573       0.121       3.638       5.835        0.26     106006.    0.2382
       24.14      0.3922      0.5798      0.0321      0.0217       0.081       1.021       0.730      60.414       0.115       3.246       5.479        0.26     106145.    0.2113
       25.29      0.4109      0.5644      0.0281      0.0205       0.077       0.965       0.640      57.063       0.109       2.848       5.090        0.26     106290.    0.1838
       26.44      0.4296      0.5402      0.0242      0.0192       0.072       0.905       0.550      53.520       0.102       2.446       4.660        0.26     106439.    0.1560
       27.59      0.4482      0.5053      0.0202      0.0179       0.067       0.842       0.459      49.790       0.095       2.040       4.177        0.26     106592.    0.1277
       28.74      0.4669      0.4567      0.0161      0.0165       0.062       0.776       0.367      45.877       0.088       1.631       3.625        0.26     106750.    0.0991
       29.89      0.4856      0.3903      0.0121      0.0150       0.056       0.706       0.274      41.789       0.080       1.221       2.979        0.26     106913.    0.0704
       31.04      0.5043      0.2998      0.0080      0.0135       0.050       0.635       0.182      37.537       0.072       0.811       2.203        0.26     107080.    0.0425
       32.19      0.5229      0.1749      0.0040      0.0119       0.044       0.560       0.091      33.126       0.063       0.403       1.240        0.26     107250.    0.0168
       33.34      0.5416     -0.0063     -0.0001      0.0102       0.038       0.481      -0.003      28.464       0.054      -0.012      -0.043        0.26     107401.    0.0000



         PROP RPM =       6000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.0951      0.0318       0.205       2.155       3.116     152.963       0.243      13.860       9.239        0.31     124897.    0.7361
        1.38      0.0187      0.0547      0.0931      0.0318       0.205       2.158       3.052     153.193       0.244      13.575       9.036        0.31     124970.    0.7125
