         9x4M-LH                  (9x4M-LH.dat)
         v2022-0915
         Simulation Date: 11/15/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        0.32      0.0629      0.1572      0.0935      0.0374       0.031       3.217       5.640      22.840       0.364      25.086     112.001       23.46      84902.    0.6099
        0.43      0.0839      0.2041      0.0912      0.0375       0.031       3.224       5.503      22.883       0.364      24.477     109.073       23.47      84968.    0.5867
        0.53      0.1048      0.2484      0.0888      0.0375       0.031       3.225       5.358      22.890       0.364      23.832     106.169       23.47      85038.    0.5635
        0.64      0.1258      0.2900      0.0863      0.0374       0.031       3.220       5.205      22.857       0.364      23.152     103.287       23.48      85111.    0.5403
        0.75      0.1467      0.3289      0.0836      0.0373       0.031       3.209       5.044      22.780       0.363      22.435     100.429       23.48      85189.    0.5172
        0.85      0.1677      0.3653      0.0808      0.0371       0.030       3.191       4.874      22.654       0.361      21.681      97.593       23.49      85271.    0.4941
        0.96      0.1887      0.3991      0.0779      0.0368       0.030       3.166       4.697      22.476       0.358      20.890      94.776       23.50      85357.    0.4710
        1.07      0.2096      0.4303      0.0748      0.0364       0.030       3.134       4.511      22.246       0.354      20.066      91.977       23.51      85448.    0.4480
        1.17      0.2306      0.4590      0.0716      0.0360       0.029       3.094       4.318      21.961       0.350      19.209      89.189       23.52      85542.    0.4250
        1.28      0.2516      0.4851      0.0683      0.0354       0.029       3.046       4.119      21.621       0.344      18.321      86.406       23.53      85642.    0.4021
        1.39      0.2725      0.5086      0.0649      0.0348       0.028       2.990       3.913      21.224       0.338      17.404      83.619       23.55      85746.    0.3793
        1.49      0.2935      0.5294      0.0614      0.0340       0.028       2.926       3.700      20.768       0.331      16.460      80.818       23.56      85854.    0.3565
        1.60      0.3145      0.5473      0.0577      0.0332       0.027       2.853       3.482      20.252       0.322      15.489      77.990       23.57      85968.    0.3337
        1.71      0.3354      0.5623      0.0540      0.0322       0.026       2.772       3.258      19.675       0.313      14.494      75.120       23.59      86086.    0.3109
        1.81      0.3564      0.5742      0.0502      0.0312       0.026       2.681       3.029      19.033       0.303      13.474      72.189       23.61      86209.    0.2881
        1.92      0.3774      0.5826      0.0463      0.0300       0.025       2.582       2.795      18.328       0.292      12.432      69.172       23.63      86336.    0.2652
        2.03      0.3983      0.5871      0.0424      0.0288       0.024       2.473       2.556      17.555       0.279      11.369      66.040       23.65      86469.    0.2421
        2.13      0.4193      0.5872      0.0383      0.0274       0.022       2.355       2.313      16.716       0.266      10.287      62.751       23.67      86607.    0.2188
        2.24      0.4402      0.5822      0.0342      0.0259       0.021       2.227       2.065      15.808       0.252       9.186      59.253       23.69      86750.    0.1952
