         10x4M-LH                 (10x4M-LH.dat)
         v2022-0915
         Simulation Date: 12/14/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        0.07      0.0197      0.0518      0.0901      0.0344       0.014       2.229       3.688      10.548       0.252      16.405     158.593       17.38      69784.    0.6283
        0.15      0.0395      0.1010      0.0881      0.0344       0.014       2.234       3.606      10.574       0.252      16.039     154.677       17.38      69828.    0.6059
        0.22      0.0592      0.1477      0.0860      0.0345       0.014       2.237       3.519      10.587       0.253      15.653     150.768       17.39      69875.    0.5834
        0.30      0.0790      0.1918      0.0838      0.0345       0.014       2.237       3.428      10.585       0.253      15.246     146.870       17.39      69924.    0.5609
        0.37      0.0987      0.2335      0.0814      0.0344       0.014       2.233       3.331      10.568       0.252      14.818     142.982       17.39      69976.    0.5383
        0.45      0.1185      0.2726      0.0789      0.0343       0.014       2.226       3.230      10.533       0.251      14.369     139.103       17.40      70031.    0.5157
        0.52      0.1382      0.3091      0.0763      0.0341       0.014       2.214       3.124      10.479       0.250      13.897     135.231       17.40      70089.    0.4931
        0.60      0.1580      0.3432      0.0736      0.0339       0.014       2.199       3.014      10.405       0.248      13.405     131.364       17.41      70150.    0.4704
        0.67      0.1777      0.3747      0.0708      0.0336       0.014       2.179       2.898      10.311       0.246      12.892     127.497       17.41      70214.    0.4477
        0.74      0.1974      0.4037      0.0679      0.0332       0.014       2.154       2.779      10.194       0.243      12.359     123.624       17.42      70280.    0.4251
        0.82      0.2172      0.4301      0.0649      0.0328       0.013       2.125       2.655      10.056       0.240      11.808     119.737       17.42      70350.    0.4024
        0.89      0.2369      0.4539      0.0617      0.0322       0.013       2.091       2.527       9.895       0.236      11.239     115.825       17.43      70424.    0.3798
        0.97      0.2567      0.4749      0.0585      0.0316       0.013       2.052       2.395       9.710       0.232      10.653     111.874       17.44      70500.    0.3571
        1.04      0.2764      0.4932      0.0552      0.0309       0.013       2.008       2.259       9.501       0.227      10.050     107.869       17.45      70580.    0.3345
        1.12      0.2962      0.5084      0.0518      0.0302       0.012       1.958       2.120       9.266       0.221       9.431     103.791       17.46      70663.    0.3118
        1.19      0.3159      0.5205      0.0483      0.0293       0.012       1.903       1.978       9.006       0.215       8.798      99.616       17.47      70750.    0.2890
        1.27      0.3357      0.5291      0.0448      0.0284       0.012       1.842       1.832       8.718       0.208       8.149      95.313       17.48      70840.    0.2661
        1.34      0.3554      0.5340      0.0411      0.0274       0.011       1.776       1.683       8.404       0.201       7.487      90.844       17.49      70934.    0.2431
        1.42      0.3751      0.5346      0.0374      0.0263       0.011       1.703       1.531       8.061       0.192       6.811      86.162       17.51      71031.    0.2199
        1.49      0.3949      0.5304      0.0336      0.0250       0.010       1.625       1.377       7.690       0.184       6.123      81.204       17.52      71132.    0.1965
        1.56      0.4146      0.5204      0.0298      0.0237       0.010       1.540       1.220       7.289       0.174       5.425      75.887       17.53      71237.    0.1729
        1.64      0.4344      0.5036      0.0259      0.0223       0.009       1.449       1.060       6.859       0.164       4.716      70.104       17.55      71345.    0.1489
        1.71      0.4541      0.4785      0.0220      0.0208       0.009       1.352       0.899       6.400       0.153       3.998      63.702       17.56      71457.    0.1246
        1.79      0.4739      0.4426      0.0180      0.0193       0.008       1.249       0.736       5.912       0.141       3.274      56.470       17.58      71573.    0.0999
        1.86      0.4936      0.3927      0.0140      0.0176       0.007       1.140       0.572       5.396       0.129       2.545      48.101       17.60      71693.    0.0751
        1.94      0.5134      0.3237      0.0100      0.0158       0.007       1.025       0.408       4.852       0.116       1.814      38.121       17.61      71816.    0.0502
        2.01      0.5331      0.2272      0.0059      0.0139       0.006       0.905       0.243       4.281       0.102       1.082      25.766       17.63      71942.    0.0262
        2.09      0.5529      0.0881      0.0019      0.0120       0.005       0.778       0.078       3.681       0.088       0.348       9.630       17.65      72070.    0.0056
        2.16      0.5726



         PROP RPM =        500

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0921      0.0331       0.027       3.355       5.889      19.847       0.379      26.196     134.595       21.73      87179.    0.6738
        0.09      0.0194      0.0528      0.0902      0.0332       0.027       3.368       5.770      19.921       0.380      25.664     131.366       21.73      87230.    0.6509
        0.18      0.0389      0.1029      0.0883      0.0333       0.027       3.377       5.643      19.975       0.381      25.102     128.143       21.73      87284.    0.6279
        0.27      0.0583      0.1506      0.0862      0.0334       0.027       3.382       5.510      20.005       0.382      24.510     124.934       21.73      87341.    0.6050
        0.37      0.0777      0.1956      0.0840      0.0334       0.027       3.382       5.370      20.008       0.382      23.887     121.740       21.74      87401.    0.5820
        0.46      0.0971      0.2381      0.0817      0.0333       0.027       3.378       5.223      19.981       0.382      23.232     118.562       21.74      87465.    0.5589
        0.55      0.1166      0.2781      0.0793      0.0332       0.027       3.368       5.068      19.921       0.380      22.544     115.400       21.74      87532.    0.5359
        0.64      0.1360      0.3156      0.0767      0.0331       0.027       3.351       4.906      19.825       0.379      21.824     112.252       21.75      87603.    0.5129
        0.73      0.1554      0.3506      0.0741      0.0328       0.026       3.329       4.737      19.691       0.376      21.071     109.117       21.76      87677.    0.4899
        0.82      0.1749      0.3832      0.0713      0.0325       0.026       3.299       4.561      19.517       0.373      20.286     105.991       21.76      87755.    0.4669
        0.92      0.1943      0.4132      0.0685      0.0322       0.026       3.263       4.378      19.302       0.369      19.472     102.871       21.77      87837.    0.4440
        1.01      0.2137      0.4407      0.0655      0.0318       0.026       3.219       4.188      19.045       0.364      18.630      99.750       21.78      87922.    0.4211
        1.10      0.2332      0.4657      0.0624      0.0313       0.025       3.169       3.993      18.745       0.358      17.761      96.620       21.79      88012.    0.3983
        1.19      0.2526      0.4881      0.0593      0.0307       0.025       3.110       3.792      18.399       0.351      16.866      93.472       21.80      88105.    0.3755
        1.28      0.2720      0.5078      0.0561      0.0300       0.024       3.044       3.585      18.007       0.344      15.945      90.293       21.81      88202.    0.3527
        1.37      0.2914      0.5246      0.0527      0.0293       0.024       2.970       3.372      17.567       0.336      15.000      87.071       21.82      88304.    0.3298
        1.47      0.3109      0.5385      0.0493      0.0285       0.023       2.887       3.155      17.078       0.326      14.032      83.787       21.84      88409.    0.3070
        1.56      0.3303      0.5492      0.0459      0.0276       0.022       2.796       2.932      16.537       0.316      13.042      80.420       21.85      88519.    0.2841
        1.65      0.3497      0.5563      0.0423      0.0266       0.021       2.695       2.705      15.944       0.305      12.030      76.942       21.86      88633.    0.2610
        1.74      0.3692      0.5596      0.0387      0.0255       0.021       2.586       2.473      15.297       0.292      10.999      73.318       21.88      88752.    0.2378
        1.83      0.3886      0.5584      0.0350      0.0243       0.020       2.467       2.237      14.596       0.279       9.948      69.503       21.89      88874.    0.2144
        1.92      0.4080      0.5520      0.0312      0.0231       0.019       2.339       1.997      13.839       0.264       8.881      65.437       21.91      89002.    0.1907
        2.02      0.4274      0.5394      0.0274      0.0217       0.017       2.202       1.753      13.026       0.249       7.797      61.042       21.93      89133.    0.1667
        2.11      0.4469      0.5193      0.0236      0.0203       0.016       2.055       1.506      12.156       0.232       6.701      56.208       21.95      89270.    0.1423
        2.20      0.4663      0.4895      0.0197      0.0187       0.015       1.898       1.257      11.230       0.214       5.593      50.780       21.97      89410.    0.1175
        2.29      0.4857      0.4472      0.0157      0.0171       0.014       1.733       1.006      10.249       0.196       4.476      44.533       21.99      89556.    0.0922
        2.38      0.5052      0.3877      0.0118      0.0154       0.012       1.558       0.754       9.215       0.176       3.355      37.124       22.01      89705.    0.0665
        2.47      0.5246      0.3036      0.0078      0.0136       0.011       1.374       0.502       8.128       0.155       2.231      27.996       22.03      89859.    0.0409
        2.57      0.5440      0.1818      0.0039      0.0117       0.009       1.181       0.249       6.989       0.133       1.108      16.163       22.05      90016.    0.0166
        2.66      0.5634     -0.0092     -0.0002      0.0096       0.008       0.974      -0.010       5.764       0.110      -0.045      -0.792       22.08      90157.    0.0000



         PROP RPM =        600

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0922      0.0323       0.045       4.711       8.486      33.440       0.532      37.745     115.097       26.08     104614.    0.6916
        0.11      0.0197      0.0550      0.0903      0.0324       0.045       4.730       8.311      33.576       0.534      36.966     112.266       26.08     104676.    0.6676
        0.22      0.0395      0.1072      0.0882      0.0325       0.045       4.744       8.126      33.675       0.536      36.143     109.445       26.08     104742.    0.6435
        0.34      0.0592      0.1567      0.0861      0.0326       0.045       4.752       7.931      33.731       0.537      35.276     106.641       26.08     104812.    0.6195
        0.45      0.0790      0.2035      0.0839      0.0326       0.045       4.753       7.725      33.739       0.537      34.362     103.857       26.08     104886.    0.5955
        0.56      0.0987      0.2475      0.0815      0.0325       0.045       4.746       7.509      33.692       0.536      33.401     101.091       26.09     104964.    0.5714
        0.67      0.1184      0.2890      0.0791      0.0324       0.045       4.731       7.282      33.586       0.535      32.392      98.345       26.09     105047.    0.5474
        0.78      0.1382      0.3278      0.0765      0.0322       0.045       4.707       7.044      33.415       0.532      31.333      95.617       26.10     105133.    0.5235
        0.89      0.1579      0.3640      0.0738      0.0320       0.044       4.673       6.795      33.175       0.528      30.226      92.906       26.11     105224.    0.4996
        1.01      0.1777      0.3976      0.0710      0.0317       0.044       4.630       6.536      32.864       0.523      29.073      90.209       26.12     105320.    0.4757
        1.12      0.1974      0.4286      0.0681      0.0313       0.044       4.575       6.267      32.479       0.517      27.876      87.522       26.13     105420.    0.4520
        1.23      0.2171      0.4570      0.0650      0.0309       0.043       4.510       5.989      32.017       0.510      26.638      84.840       26.14     105525.    0.4283
        1.34      0.2369      0.4828      0.0619      0.0304       0.042       4.434       5.701      31.477       0.501      25.360      82.155       26.15     105635.    0.4047
        1.45      0.2566      0.5059      0.0587      0.0298       0.041       4.347       5.405      30.855       0.491      24.043      79.459       26.16     105750.    0.3811
        1.56      0.2764      0.5262      0.0554      0.0291       0.040       4.247       5.101      30.148       0.480      22.689      76.742       26.18     105870.    0.3575
        1.68      0.2961      0.5435      0.0520      0.0283       0.039       4.135       4.789      29.355       0.467      21.300      73.990       26.19     105994.    0.3340
        1.79      0.3159      0.5578      0.0485      0.0275       0.038       4.011       4.469      28.471       0.453      19.876      71.188       26.21     106124.    0.3104
        1.90      0.3356      0.5688      0.0450      0.0265       0.037       3.873       4.141      27.494       0.438      18.420      68.315       26.22     106260.    0.2868
        2.01      0.3553      0.5761      0.0413      0.0255       0.035       3.722       3.807      26.423       0.421      16.933      65.347       26.24     106400.    0.2630
        2.12      0.3751      0.5792      0.0376      0.0244       0.034       3.558       3.466      25.254       0.402      15.416      62.249       26.26     106546.    0.2391
        2.23      0.3948      0.5777      0.0339      0.0231       0.032       3.379       3.119      23.985       0.382      13.873      58.979       26.28     106698.    0.2149
        2.35      0.4146      0.5706      0.0300      0.0218       0.030       3.186       2.766      22.616       0.360      12.304      55.478       26.30     106855.    0.1903
        2.46      0.4343      0.5567      0.0262      0.0204       0.028       2.979       2.409      21.145       0.337      10.714      51.666       26.32     107017.    0.1654
